task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals
vbs23-kis-t4,VIREO,1,1673262390955,68200,253492.0,76.0,76.0,76.0,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278696068,149827,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278719339,173098,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673278899530,12421,196912.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673278902550,15441,196912.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673278910846,23737,196912.0,86.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673278933624,46515,196912.0,61.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673278944369,57260,196912.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673278958832,71723,196912.0,457.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673278991173,104064,196912.0,21.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673279022856,135747,196912.0,21.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673279032874,145765,196912.0,20.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673279034326,147217,196912.0,20.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,1,1673279046105,158996,196912.0,29.0,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,1,1673273050745,297455,,746.0,746.0,746.0,1000.0,,,,
vbs23-kis-v-m7,VIREO,1,1673273129411,7043,10989.0,4.0,5.0,4.0,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276018651,22503,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276027760,31612,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276034130,37982,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276043913,47765,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276050800,54652,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276054543,58395,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276056959,60811,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264188961,25587,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264215137,51763,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264238442,75068,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264241673,78299,310537.0,64.0,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264263999,100625,310537.0,31.0,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264314640,151266,310537.0,219.0,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264343340,179966,310537.0,30.0,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264353825,190451,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,1,1673264371884,208510,310537.0,30.0,inf,inf,1000.0,,,,
vbs23-kis-v4,VIREO,1,1673277192472,15259,45771.0,16.0,inf,inf,1000.0,,,,
vbs23-kis-v4,VIREO,1,1673277200248,23035,45771.0,163.0,inf,inf,1000.0,,,,
vbs23-kis-v4,VIREO,1,1673277208737,31524,45771.0,141.0,141.0,141.0,1000.0,,,,
vbs23-kis-t7,VIREO,1,1673277558871,27337,191328.0,6.0,inf,6.0,1000.0,,,,
vbs23-kis-t7,VIREO,1,1673277697834,166300,191328.0,5.0,inf,5.0,1000.0,,,,
vbs23-kis-t7,VIREO,1,1673277707320,175786,191328.0,1.0,inf,inf,1000.0,,,,
